iter	Passed	Remaining
0	60	60165
1	116	58229
2	173	57825
3	235	58599
4	299	59645
5	359	59596
6	416	59023
7	466	57877
8	524	57709
9	583	57794
10	644	57969
11	696	57356
12	756	57468
13	818	57643
14	873	57377
15	933	57388
16	986	57032
17	1041	56815
18	1098	56719
19	1153	56511
20	1216	56689
21	1272	56547
22	1329	56490
23	1383	56255
24	1440	56195
25	1490	55827
26	1546	55722
27	1606	55761
28	1665	55776
29	1713	55409
30	1767	55234
31	1827	55279
32	1883	55191
33	1939	55090
34	1992	54947
35	2049	54870
36	2105	54790
37	2161	54722
38	2221	54728
39	2275	54608
40	2331	54544
41	2390	54516
42	2439	54299
43	2486	54020
44	2542	53947
45	2593	53789
46	2642	53575
47	2695	53468
48	2749	53364
49	2805	53299
50	2854	53115
51	2901	52898
52	2960	52898
53	3009	52720
54	3058	52553
55	3103	52317
56	3160	52285
57	3215	52228
58	3267	52110
59	3321	52036
60	3369	51871
61	3425	51830
62	3474	51669
63	3514	51406
64	3576	51448
65	3619	51227
66	3666	51063
67	3714	50909
68	3761	50746
69	3803	50537
70	3860	50512
71	3907	50359
72	3960	50298
73	4011	50201
74	4069	50189
75	4112	49993
76	4168	49968
77	4220	49891
78	4272	49814
79	4329	49790
80	4383	49733
81	4421	49502
82	4470	49387
83	4516	49253
84	4569	49191
85	4612	49024
86	4665	48965
87	4727	48989
88	4783	48961
89	4822	48760
90	4871	48664
91	4920	48561
92	4964	48416
93	5012	48313
94	5057	48181
95	5105	48078
96	5160	48037
97	5206	47924
98	5264	47913
99	5314	47828
100	5363	47738
101	5412	47651
102	5464	47586
103	5503	47417
104	5546	47278
105	5603	47263
106	5647	47131
107	5700	47079
108	5751	47017
109	5807	46984
110	5845	46816
111	5885	46663
112	5936	46598
113	5975	46441
114	6032	46427
115	6079	46326
116	6135	46301
117	6188	46258
118	6236	46168
119	6294	46159
120	6341	46065
121	6381	45928
122	6430	45851
123	6484	45809
124	6528	45698
125	6561	45517
126	6613	45461
127	6656	45345
128	6694	45197
129	6744	45137
130	6795	45081
131	6849	45037
132	6891	44921
133	6937	44836
134	6981	44733
135	7024	44629
136	7061	44483
137	7109	44410
138	7153	44309
139	7205	44260
140	7255	44203
141	7302	44126
142	7347	44032
143	7397	43976
144	7438	43863
145	7481	43762
146	7525	43669
147	7567	43565
148	7609	43462
149	7653	43369
150	7707	43332
151	7752	43248
152	7801	43190
153	7844	43094
154	7897	43056
155	7943	42977
156	7986	42881
157	8042	42857
158	8086	42774
159	8134	42707
160	8179	42626
161	8226	42555
162	8278	42511
163	8325	42440
164	8364	42328
165	8413	42269
166	8460	42201
167	8513	42160
168	8561	42100
169	8606	42018
170	8650	41935
171	8690	41834
172	8734	41752
173	8781	41686
174	8837	41661
175	8885	41598
176	8932	41532
177	8982	41480
178	9037	41450
179	9089	41406
180	9141	41362
181	9199	41347
182	9237	41242
183	9290	41199
184	9337	41134
185	9370	41009
186	9423	40970
187	9472	40915
188	9523	40865
189	9569	40796
190	9609	40701
191	9661	40659
192	9702	40570
193	9754	40526
194	9812	40507
195	9854	40422
196	9900	40355
197	9947	40290
198	10004	40269
199	10052	40210
200	10095	40131
201	10154	40115
202	10197	40036
203	10242	39966
204	10298	39937
205	10354	39909
206	10391	39807
207	10435	39734
208	10474	39643
209	10517	39564
210	10567	39515
211	10614	39454
212	10661	39391
213	10707	39327
214	10752	39259
215	10791	39170
216	10836	39101
217	10882	39036
218	10923	38955
219	10970	38896
220	11015	38827
221	11061	38765
222	11106	38697
223	11158	38656
224	11193	38555
225	11230	38461
226	11273	38388
227	11308	38291
228	11349	38213
229	11386	38120
230	11437	38075
231	11474	37983
232	11526	37943
233	11582	37916
234	11634	37874
235	11677	37802
236	11727	37756
237	11784	37729
238	11838	37693
239	11892	37660
240	11932	37578
241	11979	37524
242	12022	37453
243	12068	37391
244	12114	37333
245	12152	37249
246	12204	37206
247	12252	37151
248	12301	37102
249	12356	37069
250	12395	36990
251	12444	36939
252	12499	36905
253	12548	36855
254	12599	36810
255	12639	36733
256	12681	36663
257	12736	36629
258	12787	36585
259	12835	36532
260	12873	36450
261	12921	36396
262	12976	36363
263	13021	36301
264	13062	36231
265	13113	36184
266	13155	36116
267	13208	36078
268	13247	35998
269	13295	35945
270	13345	35900
271	13392	35845
272	13442	35797
273	13483	35726
274	13517	35638
275	13566	35588
276	13609	35522
277	13664	35488
278	13712	35436
279	13750	35359
280	13792	35291
281	13840	35238
282	13890	35191
283	13947	35164
284	13996	35115
285	14039	35050
286	14095	35016
287	14144	34968
288	14180	34886
289	14219	34814
290	14267	34761
291	14323	34730
292	14364	34661
293	14419	34625
294	14461	34559
295	14495	34475
296	14547	34434
297	14590	34370
298	14637	34316
299	14680	34253
300	14730	34206
301	14770	34137
302	14825	34104
303	14871	34048
304	14913	33983
305	14949	33904
306	14990	33838
307	15032	33774
308	15075	33712
309	15124	33663
310	15164	33596
311	15217	33557
312	15267	33510
313	15313	33456
314	15357	33395
315	15405	33345
316	15449	33288
317	15500	33243
318	15546	33188
319	15590	33129
320	15635	33073
321	15688	33033
322	15739	32989
323	15776	32915
324	15819	32855
325	15865	32801
326	15913	32750
327	15952	32682
328	16012	32658
329	16058	32604
330	16099	32539
331	16150	32495
332	16189	32427
333	16236	32376
334	16288	32334
335	16325	32262
336	16370	32206
337	16415	32150
338	16456	32086
339	16502	32033
340	16540	31964
341	16594	31927
342	16642	31878
343	16692	31832
344	16741	31783
345	16783	31724
346	16828	31668
347	16871	31609
348	16923	31567
349	16957	31493
350	17002	31438
351	17054	31395
352	17102	31345
353	17142	31282
354	17186	31225
355	17245	31196
356	17296	31152
357	17336	31089
358	17379	31030
359	17427	30981
360	17480	30942
361	17528	30893
362	17587	30863
363	17635	30814
364	17679	30757
365	17727	30708
366	17782	30671
367	17838	30635
368	17877	30570
369	17928	30526
370	17970	30467
371	18012	30407
372	18060	30359
373	18104	30302
374	18155	30259
375	18198	30201
376	18242	30145
377	18288	30094
378	18328	30031
379	18375	29981
380	18417	29921
381	18461	29867
382	18513	29825
383	18561	29775
384	18600	29712
385	18656	29676
386	18700	29621
387	18747	29571
388	18794	29521
389	18846	29477
390	18888	29418
391	18931	29363
392	18972	29303
393	19023	29258
394	19065	29201
395	19109	29147
396	19155	29095
397	19204	29048
